Population,Latitude,Longitude,NodeSize
Adygei,44,39,78.3505316309348
Balochi,30.49871492,66.5,74.67610630889476
BantuKenya,-3,37,121.21345257847776
BantuSouthAfrica,-25.56926433,24.25,145.2968183152699
Basque,43,0,77.68384139837039
Bedouin,31,35,78.34624762423279
BiakaPygmy,4,17,119.67851160880238
Burusho,36.49838568,74,75.87111507849414
Cambodian,12,105,79.0952067161626
Colombian,3,-68,95.89192506790937
Daur,48.49753416,124,71.86445947360937
Druze,32,35,72.12754986705723
Kalash,35.99366014,71.5,76.32660310783385
Lahu,22,100,68.94418023739682
Mandenka,12,-12,119.45798051558774
Maya,19,-91,61.68879342795876
MbutiPygmy,1,29,138.64615148818555
Melanesian,-6,155,62.570592008272605
Mongola,45,111,72.95530239199712
Mozabite,32,3,91.36663834748164
Palestinian,32,35,91.10802315583493
Papuan,-4,143,81.95844612577439
Pima,29,-108,70.02013447839552
Russian,61,40,69.01814799489972
San,-21,20,135.11628221168564
Uygur,44,81,78.0892078599719
Yakut,62.98287845,129.5,75.51887960652195
Yi,28,103,70.05994223676814
Yoruba,7.995094727,5,123.26322298263267
